Sentence,Language
"La etología moderna comprende disciplinas como la neuroetología, inspiradas en la cibernética y con aplicaciones industriales en el campo de la robótica y la neuropsiquiatría.",es
"चाणक्य के अर्थशास्त्र में समुद्र से लवणोत्पादन का वर्णन है। पुराने वैदिक साहित्य में वर्णित अनेकों पदार्थ और कथन आधुनिक विज्ञान की खोजों से मेल खाते है। ताम्र के बर्तन, लोहा, स्वर्ण, रजत के आभूषण और टेराकोटा थालियाँ तथा चित्रित मिट्टी के धूसर बर्तन, उत्तर भारत के बहुत से पुरातत्व स्थलों से प्राप्त हुए हैं।",hi
"Porevandet i kalksediment er ofte ganske basisk, hvilket efterhånden fører til opløsning af kiselskallerne, som så findes som opløste ioner.",da
Elle échappe autant aux chimistes qu'à l'honnête homme de la rue.,fr
"Au XXIe siècle, ces disciplines ne sont plus considérées comme des sciences.",fr
Επίσης σε σύνδεση με προβλήματα κυρίως της φυσικής αναπτύσσεται ιδιαίτερα κατά τον 19ο και 20ο αιώνα ο κλάδος της Στατιστικής.,el
"Na prática, é difícil encontrar um método de análise que combinem essas três características e, em geral, qualquer uma delas pode ser suprimida em benefício de outra.",pt
The names for inorganic compounds are created according to the inorganic nomenclature system.,en
Yer bilimleri bünyesinde ele alınır.,tr
கோட்பாட்டிலும் சோதனையிலும் ஈடுபடுபவர் கோட்-இயல்பாளர் என்று அழைக்கபடுகிறார்.,ta
"Durante este tempo, a fonte de referência primordial do campo foi a Obra de Isaac Newton Opticks (Óptica, 1704), em cujos apêndices finais o físico britânico postulava um conjunto de hipóteses quanto à natureza da matéria.",pt
وفيما بعد عام 1926 م أظهرت أبحاث العالمين شرودينجر ودوبروكلي أن الإلكترونات تدور حول النواة بمدارات غير ثابتة تسمى «السحابة الإلكترونية».,ar
"Himalaya er således dannet ved sammenstødet mellem den indiske og eurasiske plade, mens Alperne er dannet, fordi den afrikanske plade er stødt sammen med den eurasiske.",da
وسيلةٌ أخرى هي مُقارنة المستحاثات أو ما نملك من معلومات عن الكائنات القديمة في علم الأحياء القديمة.,ar
"Bu üç dönem birlikte on bir dönemi (Kambriyen, Ordovisiyen, Silüriyen, Devoniyen, Karbonifer, Permiyen, Triyas, Jura, Kretase, Tersiyer ve Kuvaterner) kapsamaktadır.",tr
"Johann Rudolph Glauber (1604–1688), var en av de första betydande kemister som inte även var läkare, och relativt fri från samtidens förutfattade meningar.",sv
In de moderne kwantummechanica spelen fundamentele onbepaaldheden in de natuurkundige grootheden zelf (bijvoorbeeld plaats en impuls – de onzekerheidsrelatie van Heisenberg in de deeltjesfysica) een centrale rol.,nl
Elle est devenue en Europe un enjeu sociopolitique important au moment de la révolution française et plus encore avec la révolution industrielle.,fr
"En 1750, c'est une science établie en Europe occidentale.",fr
من بين الفروع العديدة لنظرية مجموعات الرياضيات الحديثة، تحتل نظرية المجموعات مكانًا فريدًا: مع استثناءات قليلة نادرة، يمكن اعتبار الكيانات التي يتم دراستها وتحليلها في الرياضيات على أنها مجموعات معينة أو فئات معينة من الكائنات.,ar
"Classical mechanics approximates nature as continuous, while quantum theory is concerned with the discrete nature of many phenomena at the atomic and subatomic level and with the complementary aspects of particles and waves in the description of such phenomena.",en
"मानवशास्त्र · पुरातत्त्वशास्त्र
अपराध शास्त्र · जनसांख्यिकी
अर्थशास्त्र · शिक्षा
मानव भूगोल · इतिहास
अंतर्राष्ट्रीय संबंध · विधि
भाषाविज्ञान · राजनीति विज्ञान
मानस शास्त्र · समाजशास्त्र",hi
Often the fundamental postulate of mathematical economics is that of the rational individual actor – Homo economicus (lit.,en
"Because rock units, other than muds, do not significantly change in volume, this is accomplished in two primary ways: through faulting and folding.",en
"Mens denne bjergartsdannelse står på, vil smelten gradvist komme til at indeholde en større og større andel af mineralkorn, på bekostning af den flydende smelte, som til gengæld skifter kemisk sammensætning, i takt med at mineralkornene dannes og ganske langsomt synker til bunds i det magmafyldte kammer.",da
"İyileşme sırasında, oksijen kullanılabilir hale geldiğinde, NAD+ ATP oluşturmak için laktattan gelen hidrojene bağlanır.",tr
"இயற்பியல் முறைமைகள் தொடர்ந்து யோகான்னசு கெப்லர், பிலைசு பாஸ்கல்,  கிறித்தியான் ஐகன்சு போன்ற அறிஞர்களின் பங்களிப்பால் வலுப்பெற்றன.",ta
"No entanto, Gottfried Leibniz, um dos desenvolvedores do Cálculo ao lado do próprio Newton, argumentava que o espaço contém propriedades estritamente relacionais.",pt
They are part of the microbiota of all organisms.,en
"They can be analyzed using the tools of chemical analysis, e.g.",en
"Επίσης στην Κίνα, ο πολυμαθής Σεν Κουά (Shen Kua, 1031 - 1095) διατύπωσε μια υπόθεση για τη διαδικασία σχηματισμού της γης, βασισμένη στην παρατήρηση πετρωμάτων και ζωικών απολιθωμάτων (όστρεα), σε ένα ορεινό γεωλογικό στρώμα εκατοντάδες χιλιόμετρα μακριά από τον Ωκεανό.",el
Antalet atomer till vänster och höger i ekvationen för en kemisk omvandling är allra oftast lika.,sv
"En sådan blev fundet, af både Scipione del Ferro omkring 1515, Niccolò Tartaglia i 1539 :79  og af Gerolamo Cardano i 1545:",da
En biokemist kan använda sig av statistiska metoder för att utveckla medicin som lindrar huvudvärk.,sv
"Entretanto, as questões ou anomalias que não podem ser resolvidas com o paradigma estabelecido pode atingir níveis insuportáveis.",pt
حيث F هي القوة المحصلة، m هي كتلة الجسم وa هي تسارع الجسم.,ar
"No entanto, na prática, os matemáticos são normalmente considerados cientistas e a matemática tem muito em comum com as ciências físicas, já que é falsificável como elas, o que significa em que, se um resultado ou uma teoria estiverem errados, isto pode ser provado por meio da apresentação de um contraexemplo.",pt
"Después del establecimiento del dogma central de la biología molecular y el desciframiento del código genético, la biología se dividió ampliamente entre biología de organismos -los campos que tratan a la totalidad de organismos y grupos de organismos- y los campos relacionados con la biología celular y molecular.",es
இவர் வளிம நிலையின் இயல்புகள் தொடர்பான விதி ஒன்றை வெளிப்படுத்தினார்.,ta
"Il modello matematico, che ovviamente si colloca ad un livello di astrazione ancora superiore a quello del modello fisico, ovvero al massimo livello di astrazione nel processo conoscitivo, è costituito normalmente da equazioni differenziali che, quando non siano risolvibili in maniera esatta, devono essere semplificate opportunamente o risolte, più o meno approssimativamente, con metodi numerici (al calcolatore).",it
Denne kolossale mængde jern bidrager væsentligt til Jordens tyngdekraft og magnetfelt.,da
La costante di equilibrio può essere espressa anche in termini di rapporti tra pressioni parziali o anche frazioni molari.,it
Framställningen av metaller som brons och järn var historiskt viktig för att den gjorde det möjligt att tillverka olika redskap.,sv
"1742'de Christian Goldbach tarafından ifade edilen, büyük çabalara rağmen bugüne kadar kanıtlanmamıştır.",tr
Bu teoriler aktif çalışma sahalarına dahil olmaya devam etmektedir.,tr
"The genetic code was cracked by Har Gobind Khorana, Robert W. Holley and Marshall Warren Nirenberg after DNA was understood to contain codons.",en
"En anden vigtig opdagelse var, at ved en given kemisk reaktion vinder eller mister man altid den samme mængde energi.",da
Wiskundige structuren worden met strikte logische redeneringen opgebouwd.,nl
"Veel wiskundige objecten, zoals verzamelingen van bijvoorbeeld getallen en functies, hebben een inwendige structuur door bewerkingen die er op gedefinieerd zijn.",nl
"L'exemple le plus connu est celui du théorème des quatre couleurs, démontré en 1976 à l'aide d'un ordinateur, car certains des calculs nécessaires sont trop complexes pour être réalisés à la main.",fr
"Inoltre, ogni regno è ripartito in modo ricorsivo finché ogni specie sia classificata separatamente.",it
Les principaux événements ayant marqué l'histoire de la Terre sont souvent utilisés comme limite entre deux subdivisions de l'échelle :,fr
ഒരിക്കൽ അദ്ദേഹം പള്ളിയിൽ പ്രാർഥിച്ചുകൊണ്ടിരിക്കുകയായിരുന്നു.,ml
الأحياء الحديثة هي ميدانٌ واسعٌ يتألف من العديد من الفروع والتخصصات الفرعيَّة، لكنها تتضمن بعض المفاهيم العامّة الموحدة التي تربط بين فروعها المُختلفة وتسير عليها جميع الدراسات والبحوث.,ar
"The first shows the entire time from the formation of the Earth to the present, but this gives little space for the most recent eon.",en
Research on the nature of the major mysteries of dark matter and dark energy is also currently ongoing.,en
"Bir hücre zarı, çeşitli sıcaklıklarda akışkanlıklarını korumak için fosfolipitler arasında yer alan kolesteroller de dahil olmak üzere çift katlı lipit katmanından oluşur.",tr
"Hvis der lokalt i kalksedimentet findes områder med surt porevand, fx omkring rådnende rester af større dyr, kan den opløste kisel her udfældes som flintlegemer.",da
ഇത്തരം പഠനം ക്വാണ്ടം ഫീൽഡ് തിയറി (Quantum Field Theory ) എന്ന ശാസ്ത്രശാഖയുടെ കീഴിൽ വരുന്നു.,ml
"Malgré les contributions des mathématiciennes à travers les siècles, depuis la fin des années 1990, la National Science Foundation aux États-Unis note un déclin de la part relative des diplômes de premier cycle octroyés à des femmes en mathématiques ainsi que dans d'autres disciplines des « STGM » (Sciences, technologies, génie et mathématiques).",fr
"Nel caso della chimica ""i corpi"" hanno dimensioni dell'ordine dell'Ångström, e sono appunto le molecole, gli atomi, gli ioni, i complessi attivati, e altre particelle di dimensioni ad essi confrontabili.",it
"En tant qu'exacte, elle ne se rapporte pas à la réalité ».",fr
"Физические теории, в свою очередь, создают предпосылки для постановки точных экспериментов, в ходе которых в основном определяются рамки их применимости.",ru
"Tale traduzione può essere portata a termine anche attraverso l'uso del calcolatore, con programmi detti di simulazione, con i quali si studiano i fenomeni più disparati.",it
மூலக்கூறுகள் பொதுவாக சகப்பிணைப்புகளால் பிணைக்கப்பட்ட அணுக்களின் தொகுப்பாகும்.,ta
"Omvandlingsgränser, som San Andreasförkastningen resulterar i vidsträckta, kraftfulla jordbävningar.",sv
Alternativt kan man även benämna den som en vetenskap om kvantitativa relationer och rumsliga strukturer i den verkliga världen.,sv
"Når vindhastigheden hen over det tørre sand på fx en strand når en vis størrelse, kaldet vindtærsklen, vil vinden kunne sætte sandkornene i bevægelse.",da
"Büyük ölçüde polar olmayan ve hidrofobik (su itici) maddeler olan steroidleri, fosfolipitleri ve yağları içerir.",tr
"Fysiker måste dessutom – beroende på område – ha god kännedom om statistik, dels för att analysera resultat från experiment, men också för att kunna beskriva stora komplexa system.",sv
English scientist John Dalton proposed the modern theory of atoms; that all substances are composed of indivisible 'atoms' of matter and that different atoms have varying atomic weights.,en
"grotter, jordgasser og vulkaner.",da
وهنالك العديد من المفاهيم الأساسية في دراسة الكيمياء، ومنها:,ar
بَيْد أنّ العديد من العلماء باتوا ينظرون إلى هذا التقسيم على أنّه تقسيمٌ عفا عليه الزمن.,ar
"ഭൂമിയിലെ ഘടകങ്ങളുടെ വിന്യാസം, ഘടന, ഭൗതിക സ്വഭാവം, ചലനം, ചരിത്രം എന്നിവയേക്കുറിച്ചും അവയുടെ രൂപവത്കരണം, ചലനം, രൂപാന്തരം എന്നിവക്കിടയായ പ്രക്രീയളേക്കുറിച്ചുമുള്ള പഠനമാണ് ഭൂഗർഭശാസ്ത്രത്തിൽ ഉൾപ്പെടുന്നത്.",ml
"In de geologie heeft deze theorie het gewonnen van het catastrofisme, volgens welke het oppervlak van de Aarde werd gevormd in korte, catastrofische episodes, maar tussendoor vrijwel onveranderd bleef.",nl
هذا الترتيب الشائع للجدول الدوري يفصل اللانثانيدات (lanthanoids) والأكتينيدات (actinoids) (عناصر المستوى الفرعي f) من العناصر الأخرى.,ar
"En effet, si la preuve est rédigée de façon formelle, il devient alors possible de la vérifier à l'aide d'un logiciel particulier, appelé assistant de preuve.",fr
"Biyoloji ya da dirim bilimi, yaşamın bilimsel olarak incelenmesidir.",tr
"Because viruses possess some but not all characteristics of life, they have been described as ""organisms at the edge of life"", and as self-replicators.",en
"With isotopic dates, it became possible to assign absolute ages to rock units, and these absolute dates could be applied to fossil sequences in which there was datable material, converting the old relative ages into new absolute ages.",en
"The proofs put forward in the fourteenth century by the Jewish scholar Levi ben Gerson, who lived in southern France, and by the above-mentioned Alfonso from Spain directly border on Ibn al-Haytham's demonstration.",da
"Estes resultados incluem teoremas previamente provados, axiomas e — no caso de abstração da natureza — algumas propriedades básicas que são consideradas pontos de partida da teoria em consideração.",pt
"Da computere i sin tid blev opfundet, blev flere omkringliggende problemer tacklet af matematikere, og det ledte til områderne beregnelighed og informationsteori.",da
Η άλγεβρα είναι ο μαθηματικός κλάδος που ασχολείται γενικά με την έννοια της (αλγεβρικής) δομής.,el
هذه، بدورها، ترد في الأعداد الحقيقية، والتي تستخدم لتمثيل كميات مستمرة.,ar
Epochs:,en
"Las explicaciones que se apoyaban en la lógica aparecieron por primera vez con la matemática helénica, especialmente con los Elementos de Euclides.",es
"Είναι η εποχή κατά την οποία η νεαρή επιστήμη άρχισε να θεμελιώνει τις πρώτες θεωρίες και να προσκομίζει αποδείξεις για τον τρόπο δημιουργίας της Γης ως πλανήτη, της δομής και εξέλιξης του φλοιού, τον τρόπο σχηματισμού των πετρωμάτων κ.λπ.",el
"Promoteri içeren düzenleyici olaylara ek olarak, gen ifadesi, ökaryotik hücrelerde bulunan bir DNA ve protein kompleksi olan kromatindeki epigenetik değişikliklerle de düzenlenebilir.",tr
A física moderna não está limitada apenas à relatividade e à mecânica quântica.,pt
"Σχετικά πεδία που συχνά θεωρούνται κομμάτια της εξελικτικής βιολογίας είναι η φυλογενετική, η συστηματική και η ταξινομία.",el
This new field of study is called planetary geology (sometimes known as astrogeology) and relies on known geological principles to study other bodies of the solar system.,en
"Στα λατινικά και στα αγγλικά γύρω στα 1700, ο όρος «mathematics» πιο συχνά σήμαινε αστρολογία ή μερικές φορές αστρονομία, παρά μαθηματικά με τη σύγχρονη έννοια του όρου.",el
"No entanto, a escrita matemática popular pode superar isto usando aplicativos ou referências culturais.",pt
"Physicists generally are interested in the root or ultimate causes of phenomena, and usually frame their understanding in mathematical terms.",en
قد تكون هذه الظواهر غير محسوسة بمجال السرعات في حياتنا اليومية وتبقى بذلك قوانين نيوتن سارية، ولكنها تصير ذات تأثير لا يستهان به عندما ترتفع السرعة وتقارب سرعة الضوء.,ar
"Pour le philosophe Thomas Samuel Kuhn, il s'agit d'une révolution scientifique majeure, qui a donné naissance à la chimie moderne.",fr
"In generale, gli elementi che caratterizzano il modello matematico di un sistema fisico sono due: lo spazio degli stati e la dinamica.",it
"(
2
+


−
1



)

3


=
(
2
+


−
1



)

2


(
2
+


−
1


)
=
(
4
+



−
1



2


+
4


−
1


)
(
2
+


−
1


)
=


{\displaystyle (2+{\sqrt {-1}})^{3}=(2+{\sqrt {-1}})^{2}(2+{\sqrt {-1}})=(4+{\sqrt {-1}}^{2}+4{\sqrt {-1}})(2+{\sqrt {-1}})=}",da
"Nos séculos 16 e 17 na Europa, as formas alchimia e chimia (e chymia ) eram sinônimas e intercambiáveis.",pt
Le miscele possono essere a loro volta omogenee o eterogenee.,it
تتميز كلمة «التطبيقية» عن «البحتة» بمجموعة دقيقة من العوامل، مثل دوافع الباحثين وموقفهم وطبيعة العلاقة بالتكنولوجيا أو العلم التي قد تتأثر بالعمل.,ar
"Η Πτολεμαϊκή Αστρονομία με την υπόθεση για το «κρυστάλλινο στερέωμα» και γενικότερα διάφοροι Έλληνες φιλόσοφοι ανέπτυξαν και προώθησαν τις δικές τους θεωρίες για τη φύση, δημιουργώντας όλοι μαζί αυτό που είναι γνωστό ως φυσική φιλοσοφία, μέχρι τα τέλη του 18ου αιώνα.",el
La réaction qui possède des caractéristiques thermiques nécessite ou fait apparaître différentes formes d’énergie en rapport avec l'énergie de liaison chimique.,fr
"Data la vastità e la complessità delle problematiche legate a questo campo di studi, la geologia è integrata con altre discipline, che costituiscono l'insieme delle scienze della Terra:",it
"Μάλλον, είναι ένα εννοιολογικό σύστημα το οποίο έχει εσωτερική ανάγκη που δεν μπορεί παρά να είναι έτσι και σε καμία περίπτωση το αντίθετο».",el
İki gen ifade süreci vardır: transkripsiyon (DNA'dan RNA'ya) ve translasyon (RNA'dan proteine).,tr
"Entretanto, tais ""fenômenos rebeldes"" se tornaram um imenso desafio para física no final do Século XIX e no início do Século XX.",pt
Diğer bir ifadeyle bir molekül bir bileşiği oluşturan atomların eşit oranlarda bulunduğu en küçük birimdir.,tr
"Une symétrie d'une figure géométrique est, intuitivement, l'existence d'un motif de la figure qui se répète suivant une règle précise, tout en étant partiellement transformé.",fr
"പെട്രോകെമിക്കൽ സാങ്കേതികവിദ്യകൾ, മെററലർജി, കൃത്രിമനാരുകളും, പ്ലാസ്റ്റിക്കുകൾ, പിഗ്മെന്റുകൾ, തുകൽ, എയർ കണ്ടീഷനിംഗ്,ടയർ വ്യവസായം",ml
Het woord algoritme is van zijn naam afgeleid.,nl
De filosoof Thales van Milete (7de-6de eeuw v.Chr.),nl
​,es
"Otros consideran que hacer caso omiso de su conexión con las ciencias supone ignorar la evidente conexión entre las matemáticas y sus aplicaciones en la ciencia y la ingeniería, que ha impulsado considerablemente el desarrollo de las matemáticas.",es
La historia de la biología trata sobre el estudio del mundo vivo desde los tiempos antiguos hasta los modernos.,es
"L'energia nucleare è la più comune applicazione della fisica nucleare, ma il campo di ricerca è anche alla base di molte altre importanti applicazioni, come in medicina (medicina nucleare, risonanza magnetica nucleare), in scienza dei materiali (implantazioni ioniche) o archeologia (radiodatazione al carbonio).",it
"En la búsqueda de estas sustancias minerales se ha ido acumulando gradualmente un caudal de conocimientos sobre su distribución, carácter y lugares donde se encuentran, así como sobre sus usos, y este caudal de conocimientos ha llevado a la formación de teorías sobre su origen.",es
التدوين الحديث يجعل الرياضيات أسهل بكثير بالنسبة للمحترفين، ولكن المبتدئين غالبا ما يجدونها شاقة.,ar
El pH es una escala logarítmica para describir la acidez de una disolución acuosa.,es
"Tale studio della materia non è limitato alle sue proprietà e struttura in un dato istante, ma riguarda anche le sue trasformazioni, dette reazioni chimiche (che comportano la rottura dei legami che tengono uniti gli atomi appartenenti alla stessa entità molecolare e la formazione di nuovi legami per dare origine a nuove entità molecolari).",it
يدرس المختصون بجيولوجيا البترول الأماكن الجوفية التي يمكن أن تحتوي على هيدروكربونات قابلة للاستخراج، خاصة البترول والغاز الطبيعي.,ar
يمكن العثور على أقسام الفيزياء الطبية في المستشفيات أو الجامعات.,ar
This coupling between rigid plates moving on the surface of the Earth and the convecting mantle is called plate tectonics.,en
"Ele desenvolveu fórmulas para calcular a área superficial e o volume de sólidos de revolução e usou o método da exaustão para calcular a área sob o arco de uma parábola com a soma de uma série infinita, de uma maneira não muito diferente do cálculo moderno.",pt
"Meer gevorderde eigenschappen worden bestudeerd in de getaltheorie, met populaire resultaten zoals de laatste stelling van Fermat.",nl
"O prêmio de maior prestígio em matemática é a Medalha Fields, criada em 1936 e concedida a cada quatro anos (exceto por volta da Segunda Guerra Mundial) a até quatro indivíduos.",pt
Гей-Люссак в 1808 открыл закон объёмных отношений (закон Авогадро).,ru
"Det betyder, at hvis man starter med 10.001 atomer og lader disse gennemgå en række kemiske reaktioner, så vil man stadig have 10.001 atomer, når reaktionerne er løbet til ende.",da
"Fiziğin temel alanları, onlara bağlı alt branşlar ve teoriler",tr
"Ad esempio: per il teorema di Pitagora, se un triangolo rettangolo ha i lati più corti (cateti) di lunghezza 



3


{\displaystyle 3}

 e 



4


{\displaystyle 4}

, quello più lungo (ipotenusa) ha come lunghezza il numero positivo 



x


{\displaystyle x}

 che risolve l'equazione:",it
Studier av stabila och radioaktiva isotoper ger insikt om den geokemiska utvecklingen av bergenheter.,sv
Alguns estudiosos apenas dizem que a “matemática é o que os matemáticos fazem”.,pt
Hydrogeologi kan också användas för att övervaka och förutse utbredningen av föroreningar i grundvattenbrunnar.,sv
"Louis Jacques Thénard utarbetade tillsammans med Gay-Lussac en metod att analysera organiska föreningar genom förbränning med syrerika ämnen och uppsamling av förbränningsprodukterna, kolsyra och vatten.",sv
Descobertas matemáticas continuam a ser feitas até os dias atuais.,pt
ജൂലിയൻ ചക്രവർത്തിയുടെ മരണശേഷം എ.ഡി.415ൽ ബിഷപ്പ് കൈറില്ലോസിന്റെ നേതൃത്വത്തിൽ ഒരു വലിയ ഗ്രീക്ക് വിരുദ്ധ പ്രക്ഷോഭം ഉണ്ടായി.,ml
"«Nulla si crea, nulla si distrugge, ma tutto si trasforma.»",it
A chemical bond may be visualized as the multipole balance between the positive charges in the nuclei and the negative charges oscillating about them.,en
— L'évolution des idées en physique (trad.,fr
ниже перечень разделов).,ru
"Até ao século XIX, o desenvolvimento da matemática no mundo ocidental era motivado principalmente pelas necessidades trazidas pela tecnologia e ciência, sendo que não havia uma distinção clara entre matemática pura e aplicada.",pt
"Dels en ydre, eller exogen, nemlig Solens stråling, som skaber strømning i atmosfæren og verdenshavene og frembringer nedbør, som står bag nedbrydning af bjergene og transport og aflejring af det herved fremkomne sediment.",da
"Number theory includes several subareas, including analytic number theory, algebraic number theory, geometry of numbers (method oriented), diophantine equations, and transcendence theory (problem oriented).",en
"प्रख्यात दार्शनिक अरस्तू ( Aristotle ) प्रथम ऐसे व्यक्ति थे, जिन्होंने जन्तु इतिहास (Historia Animalium) नामक पुस्तक लिखी, जिसमें उन्होंने जन्तुओं की रचना, स्वभाव, जनन आदि के बारे में वर्णन किया तथा जन्तुओं का वर्गीकरण भी किया। इसलिए अरस्तू को | ‘जन्तु विज्ञान का पिता‘ ( Father Of Zoology ) कहा जाता है।",hi
"Le découpage de l'échelle est détaillé sur le dernier éon, le Phanérozoïque, qui correspond aux 542 derniers millions d'années.",fr
"В Месопотамии возникла идея о противоположностях, из которых построен мир: огонь—вода, тепло—холод, сухость—влажность и т. д.",ru
كانت أولى المحاولات لتصنيف العناصر سنة 1789 حين صنف أنتوان لافوازييه العناصر بالاعتماد على خصائصها إلى: الغازات، اللافلزات، الفلزات، والترابيات.,ar
"år gammel, mens mange kontinenter har en kerne, der er over 3 mia.",da
"Thus, because vibrational and rotational energy levels are more closely spaced than electronic energy levels, heat is more easily transferred between substances relative to light or other forms of electronic energy.",en
"എന്നിരിക്കിലും ഗണിതാത്മക ഭൗതികം, ക്വാണ്ടം ബലതന്ത്രം തുടങ്ങിയ ആധുനിക ശാസ്ത്രശാഖകളിൽ ഭൗതികശാസ്ത്രത്തിന്റെ സീമകൾ നിർവചിക്കുക പ്രയാസം തന്നെ.",ml
Позже в синтетической теории эволюции дополнительным механизмом эволюционных изменений был постулирован генетический дрейф.,ru
La fisica matematica è quella disciplina scientifica che si occupa delle applicazioni della matematica ai problemi della fisica e dello sviluppo di metodi matematici adatti alla formulazione di teorie fisiche e alle relative applicazioni.,it
"Kemi (græsk: χημεία, tr.",da
La biochimica studia i composti e i processi chimici che contraddistinguono gli organismi viventi.,it
இவர்கள் சிக்கலான நிகழ்வை சோதனையில் அவதானித்து அதை அடிப்படை கோட்பாட்டுடன் நிறுவ முயல்பவர்கள்.,ta
Vilken fas ett kemiskt ämne befinner sig i bestäms alltid av dess egen och omgivningens energi.,sv
"La vie se présentant sous de nombreuses formes et à des échelles très différentes, la biologie s'étend du niveau moléculaire, à celui de la cellule, puis de l'organisme, jusqu'au niveau de la population et de l'écosystème.",fr
وتشمل العديد من الموارد ذات الأهمية الاقتصادية، مثل: الأحجار الكريمة، والمعادن الثمينة، مثل: الذهب، والنحاس، والعديد من المعادن، مثل: الأسبستوس (الحرير الصخري)، والبيرلايت، والميكا، والفوسفات، والزيوليت، والطين، والخفاف، والكوارتز، والسيليكا، بالإضافة إلى عناصر: مثل الكبريت، والكلور، والهيليوم.,ar
"Su, sulu bir çözelti oluşturmak için sodyum ve klorür iyonları veya diğer küçük moleküller gibi çözünen maddeleri çözebilen etkili bir çözücü olduğu için yaşam için önemlidir.",tr
"Además, hay ramas de las matemáticas conectadas a otros campos, por ejemplo la lógica, teoría de conjuntos y las matemáticas aplicadas entre muchas otras tal como indica la Sociedad Matemática Americana.",es
"Bu araç seti genleri, şubeler arasında yüksek oranda korunur, yani çok eski ve geniş ölçüde ayrılmış hayvan gruplarında çok benzerdirler.",tr
gennemfaldende lys.,da
"Геологическим событиям можно присвоить точную дату в конкретный момент времени — абсолютный возраст, или же они могут быть привязаны к определённым интервалам геохронологической шкалы — относительный возраст.",ru
Le misure sono il risultato degli esperimenti.,it
Sur les autres projets Wikimedia :,fr
"Hox genleri, yılanların birçok omuru gibi tekrar eden parçaların, gelişmekte olan bir embriyo veya larvada nerede büyüyeceğini belirler.",tr
"Det var då som lärda upptäckte spermier, bakterier, hödjur och den oerhörda märkligheten bland det mikroskopiska livets mångfald.",sv
"Et ce, malgré les contestations appliquées et systématiques d'Albert Einstein.",fr
Distinktionen mellan levande och inte levande är inte alltid självklar.,sv
"Por exemplo, informação acerca da fisiologia duma célula de levedura também se aplica a células humanas, e o mesmo conjunto de técnicas e métodos é aplicado à fisiologia humana ou à de outras espécies, animais e vegetais.",pt
"Essa si occupa della biosintesi delle biomolecole, del loro ruolo e funzionalità biologica: acidi nucleici e informazione genetica, proteine, lipidi e carboidrati.",it
"À la fin du quattrocento (XVe siècle), il apparaît en tant qu'adjectif.",fr
"ചിലപ്പോഴെല്ലാം, ഗണിതം ഒരു സംസ്ക്കാരത്തിൽ നിന്നു മറ്റു സംസ്ക്കാരങ്ങളിലേയ്ക്കു പകർന്നു പോയിട്ടുണ്ട്.",ml
"Most plants, algae, and cyanobacteria perform photosynthesis, which is largely responsible for producing and maintaining the oxygen content of the Earth's atmosphere, and supplies most of the energy necessary for life on Earth.",en
"Nada disso seria possível, entretanto, sem o desenvolvimento da mecânica, que tem suas raízes ligadas ao próprio desenvolvimento da física.",pt
gjorde mange iagttagelser om dyr og planters levevis og organiserede disse iagttagelser i teorier.,da
ورث علماء العصر الإسلامي الفيزياء الأرسطية من الإغريق وخلال العصر الذهبي الإسلامي طورتها أكثر، خاصة مع التركيز على الملاحظة والتفكير المسبق، وتطوير أشكال مبكرة من المنهج العلمي.,ar
"Egli era un chimico o, più precisamente, un alchimista, conoscitore dei principi curativi di vegetali e minerali.",it
نتج اكتشاف قوانين جديدة في الديناميكا الحرارية والكيمياء والكهرطيسية عن جهود بحثية أكبر خلال الثورة الصناعية مع زيادة احتياجات الطاقة.,ar
"Alcançando o mesmo resultado para a constante de Planck, Einstein explicou também o efeito fotoelétrico e deu argumentações físicas para a existência dos quanta de energia.",pt
"Dette kan fint beskrive radioaktivt henfald, hvor antal radioaktive partikler går mod 0, eller forrentning af en kapital, hvor kapitalens størrelse med tiden går mod uendelig.",da
"I kolde egne med kraftigt snefald vil en del af vinterens sne kunne blive liggende sommeren over, fx på nordvendte skråninger, for så næste vinter at blive dækket med ny sne.",da
O grego Diofanto resolveu algumas equações envolvendo números naturais desconhecidos ao deduzir novas relações até obter a solução.,pt
"[j] O resultado desta tendência é uma filosofia da prova quase empirista, mas que não pode ser considerada infalível.",pt
"Algunos de los fenómenos geológicos más visibles —terremotos, volcanes y erosión— así como algunos temas de su estudio —rocas, minerales, menas y metales, piedras preciosas, fósiles—han interesado a la humanidad desde siempre.",es
"These stretched rocks can also pinch into lenses, known as boudins, after the French word for ""sausage"" because of their visual similarity.",en
Ett sätt att försöka förstå betydelsen av termen mol är att jämföra det med termer såsom dussin.,sv
ഐക്യരാഷ്ട്രങ്ങൾ വർഷം 2005 നെ ലോകഭൗതികശാസ്ത്രവർഷമായി പ്രഖ്യാപിച്ചിരുന്നു.,ml
"Элементарными частицами также являются электроны (−), протоны (+) и нейтроны.",ru
"Come le note musicali, la notazione matematica moderna ha una sintassi rigorosa (che in misura limitata varia da autore ad autore, e da disciplina a disciplina) e codifica informazioni difficili da scrivere in qualsiasi altro modo.",it
"Zo zijn er verschillende definities voor de natuurlijke getallen, met of zonder nul.",nl
Соответственно различают качественный и количественный анализ — две составные части одной из химических наук — аналитической химии.,ru
Desuden kan de fleste mineraler identificeres ud fra deres optiske egenskaber vha.,da
